YDR477W	YGL115W
YPL016W	YPL129W
YBL093C	YGL025C
YDR075W	YMR028W
YCL059C	YPR102C
YDR448W	YER148W
YDR079CA	YPR056W
YJL109C	YPL126W
YLR347C	YOR001W
YPL240C	YPL240C
YFL039C	YJL081C
YCR035C	YDR280W
YDR099W	YDR130C
YBR017C	YMR047C
YDR101C	YPL093W
YLR423C	YPR185W
YJL183W	YPL050C
YDR118W	YDR118W
YDR121W	YJL065C
YML007W	YMR308C
YCR077C	YDL160C
YJR022W	YPR178W
YDR146C	YER022W
YFR050C	YJL001W
YFR052W	YOR261C
YML069W	YOL145C
YJR084W	YJR084W
YBR091C	YDL217C
YML092C	YPR103W
YJR093C	YKL059C
YHR030C	YPL089C
YGL022W	YOR103C
YML098W	YPL129W
YEL009C	YER022W
YHR058C	YOR174W
YEL036C	YLR026C
YKL018W	YKL059C
YBR119W	YGR013W
YGL092W	YKL057C
YKL052C	YKL138CA
YBR127C	YOR270C
YGL099W	YHR170W
YDL047W	YPL152W
YKL068W	YOL123W
YKL080W	YOR270C
YHR107C	YNL298W
YBR154C	YGL070C
YMR167W	YMR167W
YDR227W	YDR227W
YDL084W	YNL253W
YBR160W	YDR356W
YGL172W	YMR047C
YMR280C	YMR280C
YBR160W	YKL185W
YHR187W	YMR312W
YKR008W	YPR034W
YBR160W	YLR182W
YNL025C	YPL248C
YGL206C	YLR206W
YDL127W	YDR388W
YKR048C	YOL012C
YGL207W	YLR418C
YDR303C	YMR091C
YGL240W	YOR249C
YDL140C	YOL051W
YLL036C	YLR147C
YDL140C	YPR161C
YER111C	YHR030C
YLL036C	YMR288W
YNL225C	YOR373W
YBR200W	YGL233W
YBR202W	YIL150C
YBR228W	YLR135W
YBR233WA	YDR016C
YDL185W	YOR332W
YBR247C	YDL014W
YIL156W	YKL129C
YBL008W	YOR038C
YOL051W	YOL135C
YIR008C	YNL102W
YGR095C	YHR069C
YDL209C	YGR129W
YBL026W	YER146W
YJL002C	YML019W
YJL011C	YKL144C
YBR279W	YGR005C
YGR104C	YPL042C
YOR151C	YOR210W
YLR222C	YOR310C
YLR229C	YPL115C
YCL028W	YNL007C
YJL076W	YOR341W
YOR270C	YOR332W
YJL081C	YPL129W
YOR310C	YPR137W
YOR341W	YPR187W
YBL085W	YML109W
YGR179C	YPL018W
YCL059C	YOR096W
YLR335W	YMR047C
YDR080W	YPL195W
YFL024C	YGR002C
YDR086C	YMR149W
YLR357W	YMR091C
YCR009C	YOR181W
YFL039C	YGR080W
YCR033W	YIL112W
YFL039C	YNL107W
YDR101C	YKL068W
YDR484W	YKR020W
YGR258C	YIL143C
YFR010W	YKL145W
YBR079C	YNL244C
YHL007C	YPL256C
YJR050W	YJR050W
YBR081C	YEL009C
YDR145W	YPL248C
YCR084C	YNL167C
YGL003C	YPR120C
YML065W	YPR162C
YBR088C	YDR510W
YBR089CA	YCR084C
YDL003W	YIL026C
YDR510W	YPR183W
YBR103W	YCR033W
YDR167W	YLR055C
YEL009C	YNR023W
YGL048C	YKL145W
YEL026W	YOR310C
YKL013C	YMR109W
YBR112C	YGL035C
YGL070C	YOR224C
YMR047C	YNL189W
YKL049C	YKL089W
YMR095C	YMR096W
YBR130C	YPL240C
YDL047W	YKR028W
YKL068W	YMR047C
Q0120	YPL160W
YGL116W	YKL101W
YER012W	YOR362C
YAL005C	YPL106C
YMR197C	YOR036W
YAL011W	YOL012C
YDR225W	YNL031C
YDL084W	YML062C
YHR161C	YIR006C
YER025W	YPL237W
YAL032C	YLR424W
YDR280W	YGR095C
YGL206C	YGR241C
YDL126C	YML013W
YBR160W	YNL068C
YAL035W	YMR260C
YER068W	YNR052C
YDR301W	YLR115W
YIL021W	YJL140W
YDR303C	YLR033W
YGL240W	YIR025W
YDL140C	YGR116W
YAL043C	YPR107C
YIL035C	YOR061W
YNL151C	YNR003C
YIL050W	YPL031C
YNL189W	YOR001W
YDL140C	YPL228W
YER112W	YJL124C
YBR198C	YDR392W
YNL222W	YPR086W
YER112W	YOL149W
YIL079C	YOL115W
YBL002W	YDR225W
YBL003C	YKR048C
YDL160C	YNR052C
YLR026C	YOR327C
YIL126W	YPR034W
YNL330C	YPL139C
YLR033W	YPR034W
YBR234C	YOR181W
YNR052C	YPR072W
YOL010W	YPL217C
YDL190C	YLL039C
YDL194W	YDR277C
YER146W	YMR268C
YBL016W	YNL053W
YBR247C	YPL204W
YLR113W	YMR172W
YGR095C	YOR001W
YDL209C	YER172C
YBR257W	YGR030C
YJL001W	YOR157C
YGR104C	YOL051W
YER161C	YHR166C
YLR192C	YMR309C
YJL053W	YOR132W
YGR128C	YJL109C
YGR132C	YGR231C
YOR259C	YPL248C
YER172C	YLL036C
YJL090C	YNL262W
YOR340C	YPR010C
YER173W	YPL194W
YLR268W	YPR181C
YBL085W	YER124C
YOR370C	YPR176C
YCL059C	YER102W
YLR369W	YOR232W
YFL038C	YPR017C
YCR035C	YOR001W
YPR175W	YPR175W
YFL039C	YOR367W
YCR042C	YGL112C
YBR020W	YML051W
YGR246C	YNL039W
YJL176C	YMR033W
YCR052W	YLR033W
YLR442C	YNL031C
YBR060C	YDR052C
YDR138W	YNL253W
YFR031C	YLR086W
YFR034C	YMR308C
YBR079C	YLR192C
YJR065C	YKL013C
YML065W	YNL261W
YJR068W	YOR144C
YML071C	YNL041C
YHR023W	YPR188C
YGL016W	YMR047C
YML127W	YMR091C
YMR005W	YMR236W
YEL018W	YGR002C
YGL075C	YNL107W
YKL018W	YNL317W
YKL028W	YKR062W
YKL042W	YPR120C
YER006W	YHR052W
YKL057C	YKL068W
YHR089C	YNL124W
YER006W	YPL146C
YKL068W	YKR082W
YMR125W	YPL178W
YER009W	YJL041W
YKL088W	YKR072C
YBR154C	YPR187W
YER013W	YLR117C
YHR143WA	YPR010C
YER021W	YHR027C
YBR160W	YEL032W
YHR165C	YLL036C
YAL023C	YDL095W
YDL102W	YJR006W
YKL186C	YPL169C
YHR166C	YIR025W
YGL172W	YGR218W
YMR263W	YNL097C
YHR170W	YMR080C
YDR277C	YKL038W
YDL122W	YKR094C
YER040W	YJR066W
YGL207W	YGL244W
YKR055W	YPL161C
YER075C	YLR113W
YDL140C	YDR301W
YGL237C	YOR358W
YBR188C	YDR416W
YNL139C	YNL253W
YDL145C	YFL048C
YER112W	YER146W
YBR198C	YCR042C
YDR324C	YJL109C
YDL147W	YOR261C
YAR007C	YML032C
YGR009C	YPR032W
YGR040W	YLR362W
YER125W	YKL020C
YLR015W	YPL138C
YBR202W	YPR019W
YGR047C	YOR250C
YLR033W	YLR357W
YBR231C	YJL081C
YGR072W	YHR077C
YNR010W	YPR070W
YOL021C	YOR076C
YBL016W	YHR084W
YER148W	YER148W
YIR009W	YLL036C
YOL091W	YOR177C
YDL209C	YKL173W
YGR104C	YNL025C
YDL225W	YLR314C
YLR182W	YNL309W
YDL232W	YER087CB
YDR389W	YPR165W
YJL041W	YLR293C
YDL239C	YOR373W
YDR392W	YOL148C
YJL050W	YOR001W
YBL058W	YDL126C
YLR226W	YPR161C
YER172C	YIL061C
YCL032W	YOR212W
YJL085W	YPR055W
YLR268W	YNL287W
YCL051W	YNL161W
YDR427W	YHR200W
YDR062W	YMR296C
YFL005W	YGL233W
YGR178C	YGR178C
YLR313C	YLR362W
YFL039C	YOL012C
YBR017C	YOL123W
YFL048C	YNL287W
YLR418C	YML069W
YDR478W	YNL221C
YDR485C	YOL012C
YJL203W	YLL036C
YGR275W	YIL126W
YCR060W	YPL240C
YDR145W	YML114C
YCR084C	YDR308C
YML062C	YNL253W
YDR510W	YMR186W
YDR155C	YKR029C
YBR088C	YLR032W
YJR084W	YMR025W
YBR091C	YHR005CA
YHR030C	YPL140C
YDR167W	YDR392W
YEL009C	YPL016W
YJR134C	YLR262C
YDR171W	YDR171W
YMR001C	YPR007C
YKL002W	YKL041W
YDR173C	YMR042W
YGL058W	YLR024C
YDR179C	YJR084W
YEL037C	YMR201C
YDR190C	YGR002C
YGL092W	YKL068W
YBR123C	YKL068W
YER006W	YNL061W
YGL100W	YMR047C
YBR154C	YGR005C
YKL129C	YOR035C
YHR158C	YHR158C
YDR228C	YJR022W
YGL150C	YLR052W
YHR165C	YIL061C
YDR240C	YGR013W
YGL153W	YMR026C
YKL196C	YLR093C
YGL206C	YNL243W
YBR160W	YOR083W
YNL097C	YNL330C
YDL134C	YGL190C
YDR308C	YOR174W
YIL038C	YPR072W
YDL147W	YFR004W
YIL109C	YLR026C
YGR033C	YNR017W
YIL115C	YLR293C
YGR047C	YLR115W
YGR083C	YJR007W
YDR363WA	YPR108W
YIR008C	YNL262W
YDR373W	YNL267W
YLR103C	YNL273W
YBL023C	YDR052C
YGR095C	YHR081W
YIR010W	YPL018W
YGR100W	YLR262C
YJL002C	YMR149W
YDL216C	YJR084W
YGR104C	YIL021W
YDL225W	YDR507C
YLR150W	YOL127W
YBR279W	YGR104C
YOR098C	YOR160W
YER164W	YGL019W
YGR119C	YGR218W
YOR151C	YPL129W
YER165W	YKL068W
YGR128C	YPL126W
YLR229C	YPL161C
YER172C	YPR182W
YDR427W	YFR004W
YPL011C	YPL129W
YGR179C	YPL233W
YJL109C	YJL109C
YFL024C	YHR090C
YCR009C	YPL249C
YLR384C	YPL101W
YDR472W	YKR068C
YBR010W	YLR399C
YLR399C	YMR227C
YJL148W	YOR341W
YJL176C	YPL129W
YJL194W	YLR274W
YCR057C	YJR002W
YFR024CA	YJR083C
YJR002W	YOR310C
YFR037C	YKR008W
YHR012W	YJL053W
YGL005C	YGR120C
YDR159W	YKL186C
YGL011C	YOL038W
YHR030C	YLR182W
YBR103W	YDR155C
YGL025C	YOR174W
YML105C	YPL210C
YJR112W	YOL069W
YDL017W	YEL032W
YHR061C	YMR055C
YGL066W	YGL112C
YGL092W	YGL172W
YGL094C	YKL025C
YKL049C	YPL018W
YER006W	YLR106C
Q0045	YLR203C
YER007W	YML085C
YGL106W	YHR023W
YDL056W	YLR182W
YER012W	YER021W
YGL112C	YML015C
YDL065C	YLR191W
YHR118C	YPR120C
YGL116W	YOR026W
YDL092W	YML105C
YBR160W	YER041W
YER022W	YOR174W
YDR244W	YDR265W
YAL029C	YOR035C
YHR171W	YNR007C
YBR160W	YKL108W
YMR314W	YPR103W
YKR008W	YML127W
YGL206C	YHR108W
YDL126C	YMR067C
YAL034WA	YKL049C
YER068W	YPR072W
YIL021W	YJL168C
YGL226CA	YOR085W
YLL021W	YOL112W
YAL047C	YOR373W
YER110C	YOR098C
YBR193C	YOR174W
YDR323C	YOR089C
YIL068C	YLR166C
YNL222W	YPR107C
YBR198C	YML114C
YLR005W	YPR056W
YIL115C	YJL041W
YER133W	YFL023W
YBR217W	YMR159C
YBR231C	YOL012C
YBL007C	YER133W
YGR074W	YLL036C
YDR359C	YNL107W
YDR363WA	YIL075C
YIL159W	YOR122C
YER148W	YGL048C
YLR102C	YLR127C
YGR092W	YPR119W
YLR113W	YNL167C
YGR095C	YOR076C
YBR257W	YHR062C
YIR021W	YIR021W
YLR127C	YNL172W
YGR103W	YPR016C
YDL220C	YLR233C
YJL026W	YJL026W
YBL050W	YDR468C
YOR140W	YPL203W
YDR394W	YDR394W
YJL069C	YLR129W
YCL027W	YNL271C
YOR260W	YOR260W
YDR416W	YGR129W
YOR310C	YPL126W
YPL086C	YPL101W
YDR073W	YPL129W
YCL059C	YNL178W
YPL122C	YPR056W
YBR003W	YJR022W
YFL026W	YOR212W
YCR020WB	YFR037C
YJL124C	YNL147W
YFL038C	YPR176C
YJL143W	YPL063W
YJL157C	YOR212W
YGR246C	YNR003C
YLR418C	YPR086W
YFR004W	YHR027C
YCR052W	YLR321C
YDR490C	YKL126W
YJR002W	YNL075W
YDR510W	YFL039C
YFR037C	YFR037C
YML019W	YOR103C
YCR077C	YNL147W
YCR084C	YLR176C
YDR146C	YOR290C
YHR016C	YLR144C
YML071C	YNL051W
YDR510W	YOL086C
YDL005C	YNR010W
YKL006CA	YLR078C
YGL049C	YNL244C
YDR176W	YHR099W
YGL061C	YKL052C
YEL032W	YPR019W
YGL070C	YOL005C
YDL029W	YMR109W
YEL037C	YER143W
YHR072WA	YNL124W
YHR083W	YMR060C
YMR080C	YMR080C
YGL098W	YLR268W
YER006W	YHR197W
YMR112C	YNR010W
YDL047W	YFR040W
YKL068W	YLL024C
YHR099W	YMR223W
YDL055C	YDR510W
Q0275	YER154W
YGL112C	YHR099W
YKL088W	YOR054C
YKL109W	YOR290C
YER012W	YOR117W
YKL122C	YML105C
YHR129C	YPL174C
YGL122C	YKR095W
YDL077C	YPL045W
YDL084W	YDR510W
YBR160W	YDR130C
YAL016W	YGL190C
YMR223W	YOL148C
YHR158C	YPR119W
YDL097C	YFR052W
YER022W	YNL236W
YKL173W	YLL036C
YBR160W	YGL075C
YAL024C	YBR160W
YDL102W	YJR043C
YAL030W	YMR183C
YER031C	YNL263C
YDL122W	YLR167W
YDR280W	YOL142W
YDL126C	YKL213C
YHR197W	YLR106C
YAL034WA	YER018C
YGL207W	YOL145C
YLL004W	YML065W
YBR173C	YPR103W
YAL047C	YLR045C
YDL140C	YMR061W
YER110C	YML007W
YAR002W	YDL229W
YGR002C	YOL012C
YGR005C	YOR151C
YDR335W	YKL068W
YNL289W	YPL031C
YDL159W	YLR362W
YIL126W	YML127W
YLR033W	YML127W
YBL007C	YCL034W
YNR010W	YPR168W
YER133W	YMR311C
YBL007C	YPR171W
YLR079W	YPL256C
YGR092W	YMR001C
YDR378C	YMR268C
